"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_NEGATIVE_REGULATION_OF_CELL_PROLIFERATION",450,0.00124852530931874,0.0132981817945883,1,1,"Up",12.3112660812643
"GO_CIRCULATORY_SYSTEM_PROCESS",451,0.00126055061995211,0.0133964947260099,1,1,"Up",12.2902755200849
"GO_RETINAL_GANGLION_CELL_AXON_GUIDANCE",452,0.00128243071914811,0.0135389657199932,1,1,"Up",12.2601286518137
"GO_EPITHELIAL_CILIUM_MOVEMENT",453,0.00128243071914811,0.0135389657199932,1,1,"Up",12.2601286518137
"GO_RESPONSE_TO_CAFFEINE",454,0.00128243071914811,0.0135389657199932,1,1,"Up",12.2601286518137
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",455,0.00128962394369687,0.013584983653053,1,1,"Up",12.2504590029796
"GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS",456,0.00130159580841134,0.0136810278721832,1,1,"Up",12.2303825255438
"GO_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",457,0.00130810550968147,0.0137108920392051,1,1,"Up",12.2241686262938
"GO_POSITIVE_REGULATION_OF_TRANSPORT",458,0.00131015826287418,0.0137108920392051,1,1,"Up",12.2241686262938
"GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY",459,0.00131917188623557,0.0137681572820942,1,1,"Up",12.2122910963214
"GO_CELL_PART_MORPHOGENESIS",460,0.00132137541200987,0.0137681572820942,1,1,"Up",12.2122910963214
"GO_COLLAGEN_FIBRIL_ORGANIZATION",461,0.00133495045969117,0.0138194763570189,1,1,"Up",12.2016887747351
"GO_SPINDLE_LOCALIZATION",462,0.00133495045969117,0.0138194763570189,1,1,"Up",12.2016887747351
"GO_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT",463,0.00133495045969117,0.0138194763570189,1,1,"Up",12.2016887747351
"GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION",464,0.00135347209331417,0.0139509499854942,1,1,"Up",12.1747054506672
"GO_PEPTIDE_ANTIGEN_BINDING",465,0.00135347209331417,0.0139509499854942,1,1,"Up",12.1747054506672
"GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS",466,0.00137552773891752,0.0141478636322568,1,1,"Up",12.1347633369264
"GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX",467,0.00138687798905387,0.0142340603887264,1,1,"Up",12.1174537569834
"GO_LIPID_MODIFICATION",468,0.00140693217440988,0.0143783068485001,1,1,"Up",12.0887200833422
"GO_PROTEIN_DEPHOSPHORYLATION",469,0.00140552009825972,0.0143783068485001,1,1,"Up",12.0887200833422
"GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION",470,0.00148592695086575,0.0150254174588598,1,1,"Up",11.9632666902743
"GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION",471,0.00148008966866944,0.0150254174588598,1,1,"Up",11.9632666902743
"GO_LIPID_OXIDATION",472,0.00147411337605785,0.0150254174588598,1,1,"Up",11.9632666902743
"GO_NEGATIVE_REGULATION_OF_NEURON_DEATH",473,0.00148592695086575,0.0150254174588598,1,1,"Up",11.9632666902743
"GO_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY",474,0.00148008966866944,0.0150254174588598,1,1,"Up",11.9632666902743
"GO_HISTONE_DEACETYLASE_BINDING",475,0.00149724966839867,0.0150762976063757,1,1,"Up",11.9536329787462
"GO_TRANSCRIPTIONAL_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING",476,0.00149724966839867,0.0150762976063757,1,1,"Up",11.9536329787462
"GO_ACTIN_BASED_CELL_PROJECTION",477,0.00150646957787929,0.0151373347731141,1,1,"Up",11.9421189285362
"GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",478,0.00151688838997907,0.0152101381865474,1,1,"Up",11.9284458551494
"GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING",479,0.00153197696226351,0.0153293644679103,1,1,"Up",11.9061949159165
"GO_REGULATION_OF_CHROMATIN_ORGANIZATION",480,0.0015370944043463,0.015339291366509,1,1,"Up",11.9043500918235
"GO_COPPER_ION_BINDING",481,0.00153936973655139,0.015339291366509,1,1,"Up",11.9043500918235
"GO_REGULATION_OF_MAPK_CASCADE",482,0.00155292997935769,0.0154423099399615,1,1,"Up",11.8852752016012
"GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS",483,0.00157925488235048,0.0156715707062233,1,1,"Up",11.8432780804549
"GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL",484,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_FERRIC_IRON_TRANSPORT",485,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_PH_REDUCTION",486,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_NUCLEOTIDE_TRANSPORT",487,0.00160920389204159,0.015764377904579,1,1,"Up",11.8264516321
"GO_EMBRYO_DEVELOPMENT",488,0.00160685722480151,0.015764377904579,1,1,"Up",11.8264516321
"GO_SULFUR_COMPOUND_CATABOLIC_PROCESS",489,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_REGULATION_OF_CENTROSOME_CYCLE",490,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_TRIVALENT_INORGANIC_CATION_TRANSPORT",491,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_EXTRACELLULAR_FIBRIL_ORGANIZATION",492,0.00160086629162697,0.015764377904579,1,1,"Up",11.8264516321
"GO_CYTOSKELETON_DEPENDENT_CYTOKINESIS",493,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_TRANSITION_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",494,0.00162478670662676,0.015764377904579,1,1,"Up",11.8264516321
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION",495,0.00165908670507768,0.0160646516715906,1,1,"Up",11.7726812674305
"GO_PALLIUM_DEVELOPMENT",496,0.00167452864898103,0.016181483497109,1,1,"Up",11.7520311989748
"GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION",497,0.0016784301941754,0.0161865511482549,1,1,"Up",11.7511388669354
"GO_MUSCLE_CONTRACTION",498,0.00169535610770516,0.0162516836484617,1,1,"Up",11.7396948834361
"GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY",499,0.00169079424849651,0.0162516836484617,1,1,"Up",11.7396948834361
"GO_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",500,0.00169535610770516,0.0162516836484617,1,1,"Up",11.7396948834361
"GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING",501,0.00170617973480214,0.0163227933511111,1,1,"Up",11.727252940543
"GO_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",502,0.00171614795216342,0.0163854524596001,1,1,"Up",11.7163344251022
"GO_HEAD_DEVELOPMENT",503,0.00172979732230774,0.0164829394946739,1,1,"Up",11.6994297907586
"GO_MEMBRANE_DISASSEMBLY",504,0.00176283061086983,0.0166981168337927,1,1,"Up",11.6624683819871
"GO_NUCLEAR_ENVELOPE_DISASSEMBLY",505,0.00176283061086983,0.0166981168337927,1,1,"Up",11.6624683819871
"GO_EXTRACELLULAR_MATRIX_COMPONENT",506,0.00175787672477327,0.0166981168337927,1,1,"Up",11.6624683819871
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",507,0.00182230213956249,0.0172274046448185,1,1,"Up",11.5735407549266
"GO_MEMBRANE_LIPID_METABOLIC_PROCESS",508,0.00189767509615542,0.0178694631353103,1,1,"Up",11.469263211476
"GO_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS",509,0.00189767509615542,0.0178694631353103,1,1,"Up",11.469263211476
"GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS",510,0.00190304571702761,0.0178848982778693,1,1,"Up",11.4668027433183
"GO_NITROGEN_COMPOUND_TRANSPORT",511,0.00192357199525045,0.0180424277362728,1,1,"Up",11.4418121958143
"GO_MUSCLE_CELL_DIFFERENTIATION",512,0.00193660167404097,0.0180586222250552,1,1,"Up",11.4392554736177
"GO_MUSCLE_CELL_DEVELOPMENT",513,0.00193178288780636,0.0180586222250552,1,1,"Up",11.4392554736177
"GO_EMBRYONIC_ORGAN_DEVELOPMENT",514,0.00193627358720391,0.0180586222250552,1,1,"Up",11.4392554736177
"GO_PROTEIN_CATABOLIC_PROCESS",515,0.00201155856202816,0.0187211654132057,1,1,"Up",11.3365749532542
"GO_GLIAL_CELL_DIFFERENTIATION",516,0.00202720537299045,0.0187938014559831,1,1,"Up",11.325539650464
"GO_GLYCOSAMINOGLYCAN_BINDING",517,0.00202698371688404,0.0187938014559831,1,1,"Up",11.325539650464
"GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS",518,0.00206513894172913,0.0190716973944272,1,1,"Up",11.2837101751628
"GO_SPECTRIN_BINDING",519,0.00206513894172913,0.0190716973944272,1,1,"Up",11.2837101751628
"GO_ION_HOMEOSTASIS",520,0.00209454369313388,0.0192689979293487,1,1,"Up",11.2543804350768
"GO_GLUTATHIONE_TRANSFERASE_ACTIVITY",521,0.0020912181783811,0.0192689979293487,1,1,"Up",11.2543804350768
"GO_INTRACELLULAR_SIGNAL_TRANSDUCTION",522,0.00216034749139507,0.0198305829289347,1,1,"Up",11.1725133425963
"GO_RESPONSE_TO_GROWTH_FACTOR",523,0.00216386289835862,0.0198305829289347,1,1,"Up",11.1725133425963
"GO_FATTY_ACID_CATABOLIC_PROCESS",524,0.00218692612902316,0.0199276367612319,1,1,"Up",11.1586002804492
"GO_HIPPOCAMPUS_DEVELOPMENT",525,0.00218692612902316,0.0199276367612319,1,1,"Up",11.1586002804492
"GO_G1_DNA_DAMAGE_CHECKPOINT",526,0.00218692612902316,0.0199276367612319,1,1,"Up",11.1586002804492
"GO_RESPONSE_TO_CORTICOSTEROID",527,0.00220144728450767,0.0200218915268411,1,1,"Up",11.1451531824248
"GO_CARDIAC_CONDUCTION",528,0.00227585133093885,0.0206593852825566,1,1,"Up",11.0558322978176
"GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX",529,0.00228532670048707,0.0207061831293658,1,1,"Up",11.0493843255178
"GO_OLIGOSACCHARIDE_METABOLIC_PROCESS",530,0.0023299890077365,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION",531,0.002354981879464,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION",532,0.002354981879464,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_COPPER_ION_TRANSPORT",533,0.00236032502711073,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_CALCIUM_ION_IMPORT",534,0.0023299890077365,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_REGULATION_OF_ERK1_AND_ERK2_CASCADE",535,0.0023536515271667,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_GENETIC_IMPRINTING",536,0.00236032502711073,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_AMELOGENESIS",537,0.00236032502711073,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS",538,0.0023299890077365,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION",539,0.00230395764882996,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN",540,0.00234173820077765,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_LYSOPHOSPHOLIPASE_ACTIVITY",541,0.00236032502711073,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",542,0.0023233871491138,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_MAP_KINASE_PHOSPHATASE_ACTIVITY",543,0.00234173820077765,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_C_ACYLTRANSFERASE_ACTIVITY",544,0.00234173820077765,0.0207960254686429,1,1,"Up",11.0370462727405
"GO_DNA_BIOSYNTHETIC_PROCESS",545,0.00242053983930671,0.0212874265133891,1,1,"Up",10.9704912921138
"GO_CYTOPLASMIC_MICROTUBULE",546,0.00242782846516678,0.0213124209405575,1,1,"Up",10.9671472534003
"GO_NUCLEAR_CHROMOSOME",547,0.00245365012071086,0.0214997166884225,1,1,"Up",10.9422127985015
"GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",548,0.00248133059092683,0.021702586719548,1,1,"Up",10.9154488436739
"GO_SYNAPTIC_MEMBRANE",549,0.00252106513368907,0.0220099548010414,1,1,"Up",10.8753717731216
"GO_RESPONSE_TO_PURINE_CONTAINING_COMPOUND",550,0.0025294203574969,0.0220427486790594,1,1,"Up",10.8711289356669
"GO_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS",551,0.00255192011393484,0.0221515224377102,1,1,"Up",10.8571009556069
"GO_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS",552,0.0025578945353476,0.0221515224377102,1,1,"Up",10.8571009556069
"GO_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY",553,0.00256038878165897,0.0221515224377102,1,1,"Up",10.8571009556069
"GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",554,0.00255395035545957,0.0221515224377102,1,1,"Up",10.8571009556069
"GO_ANION_TRANSMEMBRANE_TRANSPORT",555,0.00259850759022208,0.0224199628149068,1,1,"Up",10.8227742529588
"GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS",556,0.00260956687997508,0.0224199628149068,1,1,"Up",10.8227742529588
"GO_LOCOMOTION",557,0.00260841678343547,0.0224199628149068,1,1,"Up",10.8227742529588
"GO_RESPONSE_TO_LITHIUM_ION",558,0.00261480475976067,0.0224199628149068,1,1,"Up",10.8227742529588
"GO_MHC_PROTEIN_COMPLEX",559,0.00261480475976067,0.0224199628149068,1,1,"Up",10.8227742529588
"GO_AXON_PART",560,0.00262648919429677,0.022479933407615,1,1,"Up",10.8151617168621
"GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS",561,0.00263459417297439,0.0225091085045745,1,1,"Up",10.8114656337606
"GO_REGULATION_OF_PEPTIDE_SECRETION",562,0.00267492966473333,0.0227802237686925,1,1,"Up",10.7773463942514
"GO_CHROMATIN_BINDING",563,0.00267583266884496,0.0227802237686925,1,1,"Up",10.7773463942514
"GO_REGULATION_OF_RESPONSE_TO_STRESS",564,0.00268446959235728,0.0228132318371781,1,1,"Up",10.7732201609384
"GO_CELLULAR_COMPONENT_DISASSEMBLY",565,0.00270510512004123,0.0229479094519604,1,1,"Up",10.7564461884807
"GO_SULFUR_COMPOUND_METABOLIC_PROCESS",566,0.00271887335106827,0.0230239575471205,1,1,"Up",10.7470179035726
"GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS",567,0.00274747990136926,0.0232251696071655,1,1,"Up",10.7222214649747
"GO_POSITIVE_REGULATION_OF_OSSIFICATION",568,0.0028680740240167,0.0242018992906902,1,1,"Up",10.6048275424349
"GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS",569,0.00287470388643557,0.0242152121751945,1,1,"Up",10.6032603966392
"GO_SENSORY_ORGAN_DEVELOPMENT",570,0.00289942868720047,0.0243806345574594,1,1,"Up",10.5838590043311
"GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",571,0.00295219571314956,0.0247375420509193,1,1,"Up",10.542444050991
"GO_SIDE_OF_MEMBRANE",572,0.00295219571314956,0.0247375420509193,1,1,"Up",10.542444050991
"GO_POSITIVE_REGULATION_OF_NEURON_DEATH",573,0.00303290417073332,0.0252980228039193,1,1,"Up",10.4785976876728
"GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS",574,0.00303491823748249,0.0252980228039193,1,1,"Up",10.4785976876728
"GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION",575,0.00303290417073332,0.0252980228039193,1,1,"Up",10.4785976876728
"GO_ACIDIC_AMINO_ACID_TRANSPORT",576,0.00310299126641598,0.0258205505901594,1,1,"Up",10.4203361565122
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION",577,0.00313098005461583,0.0260082970568002,1,1,"Up",10.3996900472251
"GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS",578,0.00315762636832075,0.0261692349716675,1,1,"Up",10.3821103125162
"GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",579,0.00316127415994064,0.0261692349716675,1,1,"Up",10.3821103125162
"GO_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",580,0.00319234581980289,0.0263323056100744,1,1,"Up",10.3644075426556
"GO_POSITIVE_REGULATION_OF_CHROMATIN_MODIFICATION",581,0.0032084428283504,0.0263323056100744,1,1,"Up",10.3644075426556
"GO_POSITIVE_REGULATION_OF_CELL_CYCLE_ARREST",582,0.0032084428283504,0.0263323056100744,1,1,"Up",10.3644075426556
"GO_REGULATION_OF_DNA_REPLICATION",583,0.00320082254072884,0.0263323056100744,1,1,"Up",10.3644075426556
"GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING",584,0.00319966135898502,0.0263323056100744,1,1,"Up",10.3644075426556
"GO_RESPONSE_TO_ACID_CHEMICAL",585,0.00326596358772334,0.0267474421691588,1,1,"Up",10.3198309274265
"GO_MUSCLE_HYPERTROPHY",586,0.00327018591928376,0.0267474421691588,1,1,"Up",10.3198309274265
"GO_VACUOLAR_ACIDIFICATION",587,0.00330356750734261,0.0269225773670524,1,1,"Up",10.3012323670732
"GO_MIDBODY",588,0.00330844941981929,0.0269225773670524,1,1,"Up",10.3012323670732
"GO_PROTEIN_KINASE_A_CATALYTIC_SUBUNIT_BINDING",589,0.00330356750734261,0.0269225773670524,1,1,"Up",10.3012323670732
"GO_CARBOHYDRATE_CATABOLIC_PROCESS",590,0.00333560567950326,0.0270975559692528,1,1,"Up",10.2827708701284
"GO_NEGATIVE_REGULATION_OF_CELL_ADHESION",591,0.00340717463696953,0.0276321286548138,1,1,"Up",10.2270992662528
"GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING",592,0.00341582515342196,0.0276554897978909,1,1,"Up",10.2246910120045
"GO_CORE_PROMOTER_BINDING",593,0.00343548000273058,0.02776771610976,1,1,"Up",10.2131501102604
"GO_GOLGI_VESICLE_TRANSPORT",594,0.00344237983181315,0.0277766439964317,1,1,"Up",10.2122340062013
"GO_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY",595,0.00345361941445907,0.0278205005941216,1,1,"Up",10.2077380855004
"GO_CHROMOSOMAL_REGION",596,0.00346391465220386,0.0278566156510287,1,1,"Up",10.204041100113
"GO_PLASMA_MEMBRANE_ORGANIZATION",597,0.00356644526778578,0.0286331192102131,1,1,"Up",10.1256913938239
"GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION",598,0.00366051199924873,0.0293391873117043,1,1,"Up",10.0562715567627
"GO_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS",599,0.00367587037952252,0.0294130997146101,1,1,"Up",10.049101396274
"GO_PROTEIN_LOCALIZATION_TO_ORGANELLE",600,0.00369210712467833,0.0294937824143054,1,1,"Up",10.0412949970199
"GO_REGULATION_OF_GTPASE_ACTIVITY",601,0.00370223800592442,0.0295255021004921,1,1,"Up",10.0382318271158
"GO_MEMBRANE_MICRODOMAIN",602,0.00371579855625708,0.0295844227244854,1,1,"Up",10.0325505865791
"GO_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND",603,0.00372796331386069,0.0296190870280469,1,1,"Up",10.0292134715417
"GO_REGULATION_OF_CATABOLIC_PROCESS",604,0.0037494653848667,0.0296190870280469,1,1,"Up",10.0292134715417
"GO_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS",605,0.00375105066263811,0.0296190870280469,1,1,"Up",10.0292134715417
"GO_TOXIN_TRANSPORT",606,0.00375105066263811,0.0296190870280469,1,1,"Up",10.0292134715417
"GO_POSITIVE_REGULATION_OF_PROTEIN_ACETYLATION",607,0.00375105066263811,0.0296190870280469,1,1,"Up",10.0292134715417
"GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY",608,0.00386678968323358,0.0304827680127279,1,1,"Up",9.94730449838431
"GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS",609,0.00389832560724515,0.0306809107315698,1,1,"Up",9.92884065356511
"GO_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE",610,0.00392210990161721,0.030716785553025,1,1,"Up",9.92551042666649
"GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",611,0.00392210990161721,0.030716785553025,1,1,"Up",9.92551042666649
"GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION",612,0.00391380022453511,0.030716785553025,1,1,"Up",9.92551042666649
"GO_RNA_LOCALIZATION",613,0.00394799103885723,0.0308690392320436,1,1,"Up",9.91142000398676
"GO_TRANSITION_METAL_ION_BINDING",614,0.00398186760556832,0.031083210803728,1,1,"Up",9.89171654053922
"GO_RESPONSE_TO_STARVATION",615,0.00401457807260572,0.0311861794197718,1,1,"Up",9.88229185732712
"GO_POSTSYNAPSE",616,0.00401380200608381,0.0311861794197718,1,1,"Up",9.88229185732712
"GO_PRECATALYTIC_SPLICEOSOME",617,0.00400691328266487,0.0311861794197718,1,1,"Up",9.88229185732712
"GO_EMBRYONIC_ORGAN_MORPHOGENESIS",618,0.00409199475459932,0.0317361340757193,1,1,"Up",9.83247579880098
"GO_REGULATION_OF_PROTEIN_SECRETION",619,0.0041818337462098,0.0323804994274371,1,1,"Up",9.77519458749229
"GO_MEMBRANE_DEPOLARIZATION",620,0.00421325192163745,0.0325187060554079,1,1,"Up",9.76305717113048
"GO_ATPASE_ACTIVITY_COUPLED",621,0.00421251742973858,0.0325187060554079,1,1,"Up",9.76305717113048
"GO_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS",622,0.00423151168035663,0.032554792109068,1,1,"Up",9.75989655767907
"GO_KINASE_REGULATOR_ACTIVITY",623,0.00423151168035663,0.032554792109068,1,1,"Up",9.75989655767907
"GO_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT",624,0.00425676621813321,0.0326966033389623,1,1,"Up",9.74750980100687
"GO_GLIOGENESIS",625,0.00428783141850334,0.0328825215822184,1,1,"Up",9.73135157582489
"GO_KINASE_ACTIVITY",626,0.00431198169163339,0.0330149013546307,1,1,"Up",9.71990198711706
"GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL",627,0.00432342251173103,0.0330497035067413,1,1,"Up",9.71689955358296
"GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT",628,0.00446122887177699,0.0340488375516355,1,1,"Up",9.63202472999477
"GO_POSITIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION",629,0.00451981448734738,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION",630,0.00448562300927415,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",631,0.00451981448734738,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS",632,0.00451981448734738,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_CELL_CORTEX_REGION",633,0.00451981448734738,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_CYTOSKELETAL_ADAPTOR_ACTIVITY",634,0.00451981448734738,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_PHOSPHOLIPID_TRANSLOCATING_ATPASE_ACTIVITY",635,0.00451981448734738,0.0341157021068598,1,1,"Up",9.62643393334741
"GO_NEURON_PROJECTION_MORPHOGENESIS",636,0.00454408953182853,0.0342450017705254,1,1,"Up",9.61565371666915
"GO_SPROUTING_ANGIOGENESIS",637,0.00458212850594806,0.0344234199514249,1,1,"Up",9.60084494211561
"GO_PROTEIN_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY",638,0.00458212850594806,0.0344234199514249,1,1,"Up",9.60084494211561
"GO_EMBRYONIC_MORPHOGENESIS",639,0.0046533806103625,0.0348494582272929,1,1,"Up",9.5657917991033
"GO_LIPID_BIOSYNTHETIC_PROCESS",640,0.0046533806103625,0.0348494582272929,1,1,"Up",9.5657917991033
"GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS",641,0.0047206880259624,0.0352983739601213,1,1,"Up",9.52931702563054
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS",642,0.00475158294557062,0.0354740452618692,1,1,"Up",9.51516971879671
"GO_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION",643,0.0047816482879015,0.0356429863824446,1,1,"Up",9.50163034217992
"GO_REGULATION_OF_RECEPTOR_ACTIVITY",644,0.0047951989969806,0.0356884919138634,1,1,"Up",9.49799438192203
"GO_CELL_MOTILITY",645,0.00486232542379166,0.0360760460622808,1,1,"Up",9.46721479255757
"GO_LOCALIZATION_OF_CELL",646,0.00486232542379166,0.0360760460622808,1,1,"Up",9.46721479255757
"GO_KINASE_INHIBITOR_ACTIVITY",647,0.00491566327172852,0.036415415859961,1,1,"Up",9.440532348539
"GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS",648,0.00494819202534516,0.0365137408610339,1,1,"Up",9.43284814015232
"GO_ER_TO_GOLGI_TRANSPORT_VESICLE",649,0.00495179043598415,0.0365137408610339,1,1,"Up",9.43284814015232
"GO_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",650,0.00494819202534516,0.0365137408610339,1,1,"Up",9.43284814015232
"GO_RESPONSE_TO_PEPTIDE",651,0.00496747514006639,0.0365731311003659,1,1,"Up",9.42821674433771
"GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE",652,0.00499694145305913,0.0367336508964914,1,1,"Up",9.41573655307745
"GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY",653,0.00509169172987191,0.0368647710895409,1,1,"Up",9.4055825418456
"GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT",654,0.00506764545785396,0.0368647710895409,1,1,"Up",9.4055825418456
"GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",655,0.00509169172987191,0.0368647710895409,1,1,"Up",9.4055825418456
"GO_NEGATIVE_REGULATION_OF_PROTEIN_SECRETION",656,0.00504470704902065,0.0368647710895409,1,1,"Up",9.4055825418456
