"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_NEGATIVE_REGULATION_OF_AXONOGENESIS",289,0.000201374121620254,0.00333974451531446,1,1,"Up",16.248853777672
"GO_ENDOPLASMIC_RETICULUM_PART",290,0.000203043300839592,0.00335581565835919,1,1,"Up",16.2351734409824
"GO_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS",291,0.000206343863120954,0.00339864651525337,1,1,"Up",16.1990317961979
"GO_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE",292,0.000210884248174165,0.00344972082422789,1,1,"Up",16.1565248792159
"GO_MULTICELLULAR_ORGANISMAL_SIGNALING",293,0.000210884248174165,0.00344972082422789,1,1,"Up",16.1565248792159
"GO_VESICLE_MEDIATED_TRANSPORT",294,0.000211870983737465,0.00345407355460432,1,1,"Up",16.1529314418569
"GO_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",295,0.000216847232543239,0.00352321622230421,1,1,"Up",16.0964494906853
"GO_PHAGOCYTIC_VESICLE_MEMBRANE",296,0.000221554235245985,0.00358753192410137,1,1,"Up",16.0448969988068
"GO_REGULATION_OF_OSSIFICATION",297,0.000224226394687184,0.00361857612705614,1,1,"Up",16.0203432089998
"GO_ORGANELLE_ASSEMBLY",298,0.000230734356950556,0.00369869489252179,1,1,"Up",15.957935453004
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION",299,0.000230243919628646,0.00369869489252179,1,1,"Up",15.957935453004
"GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",300,0.00023640962499729,0.00377703777537337,1,1,"Up",15.898204727752
"GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY",301,0.000246591399581755,0.00392661986111413,1,1,"Up",15.7875236697484
"GO_FIBRIL_ORGANIZATION",302,0.000248382948126435,0.00394205122639074,1,1,"Up",15.7763462999638
"GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK",303,0.000257379021184175,0.00407134537470544,1,1,"Up",15.6843784516274
"GO_SKELETAL_SYSTEM_DEVELOPMENT",304,0.000272135038917873,0.00429060276820185,1,1,"Up",15.5348986750333
"GO_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION",305,0.000274747162371817,0.00431758409589547,1,1,"Up",15.5170342453672
"GO_REGULATION_OF_PROTEIN_LOCALIZATION",306,0.000277464399222552,0.00433887000403825,1,1,"Up",15.5030193735098
"GO_DIVALENT_INORGANIC_CATION_TRANSPORT",307,0.000277912182607916,0.00433887000403825,1,1,"Up",15.5030193735098
"GO_TRANSITION_METAL_ION_TRANSPORT",308,0.000279132265578279,0.00434376931466458,1,1,"Up",15.4998033488972
"GO_PERINUCLEAR_REGION_OF_CYTOPLASM",309,0.000282458556781055,0.00438130699887248,1,1,"Up",15.4752824139835
"GO_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT",310,0.000287370151282355,0.00442909633551639,1,1,"Up",15.4443669638899
"GO_SYNAPSE_PART",311,0.000287387640380888,0.00442909633551639,1,1,"Up",15.4443669638899
"GO_REGULATION_OF_NEURON_DIFFERENTIATION",312,0.000290220099259067,0.00444724862718586,1,1,"Up",15.4327113809956
"GO_NEGATIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION",313,0.000290421201817061,0.00444724862718586,1,1,"Up",15.4327113809956
"GO_PHAGOSOME_MATURATION",314,0.000293224566676697,0.00447587690471786,1,1,"Up",15.4144255033741
"GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",315,0.000299343495661038,0.00455477261810589,1,1,"Up",15.3646309808714
"GO_PLASMA_MEMBRANE_REGION",316,0.000300607503707027,0.00455953090274615,1,1,"Up",15.361655459506
"GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION",317,0.000309195218553337,0.00467499268935692,1,1,"Up",15.2903894381187
"GO_CELL_CELL_JUNCTION",318,0.000312595166705367,0.00471153658496486,1,1,"Up",15.2681999083109
"GO_SECRETORY_GRANULE",319,0.00032103142152337,0.00480844876050473,1,1,"Up",15.2101778450118
"GO_MICROTUBULE_BINDING",320,0.000320518911686595,0.00480844876050473,1,1,"Up",15.2101778450118
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",321,0.000328641329923523,0.00489707433201976,1,1,"Up",15.1581317349504
"GO_RESPONSE_TO_OXYGEN_LEVELS",322,0.000328991849553591,0.00489707433201976,1,1,"Up",15.1581317349504
"GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION",323,0.00033131993616912,0.00491645961008852,1,1,"Up",15.1468731638764
"GO_TRANSCRIPTION_FACTOR_BINDING",324,0.000334717050938769,0.00495153958379481,1,1,"Up",15.1266118275289
"GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT",325,0.000348722541318287,0.00514285274011861,1,1,"Up",15.018579740382
"GO_SUPRAMOLECULAR_FIBER",326,0.000362132950057483,0.00532424303566109,1,1,"Up",14.9198001015956
"GO_RESPONSE_TO_ESTRADIOL",327,0.00036572030940692,0.00535132943299523,1,1,"Up",14.9053391422017
"GO_MACROMOLECULE_CATABOLIC_PROCESS",328,0.000369557697125271,0.00535132943299523,1,1,"Up",14.9053391422017
"GO_CELLULAR_CHEMICAL_HOMEOSTASIS",329,0.000368695192696545,0.00535132943299523,1,1,"Up",14.9053391422017
"GO_EMBRYONIC_CRANIAL_SKELETON_MORPHOGENESIS",330,0.000367099503150971,0.00535132943299523,1,1,"Up",14.9053391422017
"GO_TRANS_GOLGI_NETWORK",331,0.000367720702271278,0.00535132943299523,1,1,"Up",14.9053391422017
"GO_SECRETORY_VESICLE",332,0.000375707198188617,0.00540770150425838,1,1,"Up",14.8754763155721
"GO_AXON",333,0.000375249820761432,0.00540770150425838,1,1,"Up",14.8754763155721
"GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS",334,0.000391648018575081,0.00560782773473544,1,1,"Up",14.771918581582
"GO_GATED_CHANNEL_ACTIVITY",335,0.000391951239544413,0.00560782773473544,1,1,"Up",14.771918581582
"GO_REGULATION_OF_BINDING",336,0.000393428880882642,0.00561221614901935,1,1,"Up",14.7696893807864
"GO_MUSCLE_STRUCTURE_DEVELOPMENT",337,0.000403022837022562,0.005732013228039,1,1,"Up",14.7094995008496
"GO_CARTILAGE_DEVELOPMENT",338,0.000404237147353888,0.00573227410434078,1,1,"Up",14.7093698057193
"GO_ENZYME_INHIBITOR_ACTIVITY",339,0.000408760267520557,0.00577931552279065,1,1,"Up",14.6860790473562
"GO_SPHINGOLIPID_METABOLIC_PROCESS",340,0.000410352038878108,0.00578475683041991,1,1,"Up",14.6833972335983
"GO_NUCLEAR_IMPORT",341,0.00041234014718243,0.00579573702476653,1,1,"Up",14.6779931858262
"GO_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS",342,0.000418079587647745,0.00584214420873365,1,1,"Up",14.6552657887503
"GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",343,0.000417396567712974,0.00584214420873365,1,1,"Up",14.6552657887503
"GO_PHAGOCYTIC_VESICLE",344,0.000432759049091455,0.00602969221597484,1,1,"Up",14.5652192994654
"GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS",345,0.000451156988471106,0.00626781288620873,1,1,"Up",14.4548443610162
"GO_RECEPTOR_BINDING",346,0.00045290868534047,0.00627396337814126,1,1,"Up",14.4520493280037
"GO_PHOSPHATASE_ACTIVITY",347,0.000456788128731677,0.00630946830262515,1,1,"Up",14.4359678206733
